2026-02-25 21:28:53 | app.utils.file_logger | INFO | File logging initialized → C:\Users\vivek.singh\OneDrive - AVEVA Solutions Limited\vivek_projects\invoice-poc\logs\logs_worker (run: 2026-02-25_15-58-53)
2026-02-25 21:28:53 | app.worker | INFO | Initializing worker services...
2026-02-25 21:28:53 | app.database.job_claimer | INFO | Database connection established
2026-02-25 21:28:53 | app.worker | INFO | ✓ Database connected
2026-02-25 21:28:53 | googleapiclient.discovery_cache | INFO | file_cache is only supported with oauth2client<4.0.0
2026-02-25 21:28:53 | app.services.drive_service | INFO | Google Drive service initialized
2026-02-25 21:28:53 | app.worker | INFO | ✓ Google Drive connected
2026-02-25 21:28:54 | app.extractors.llm_extractor | INFO | Initialized LLM extractor with model: llama-3.3-70b-versatile
2026-02-25 21:28:54 | app.worker | INFO | ✓ LLM extractor initialized
2026-02-25 21:28:54 | app.worker | INFO | ✓ Callback service initialized
2026-02-25 21:28:54 | app.worker | INFO | Worker initialization complete
2026-02-25 21:28:54 | app.main | INFO | FastAPI app started with background worker
2026-02-25 21:28:54 | app.worker | INFO | Worker worker-1 starting...
2026-02-25 21:28:54 | app.worker | INFO | Worker worker-1 polling every 5 seconds (max retries: 3)
2026-02-25 21:29:24 | app.database.job_claimer | INFO | Claimed job 7bae606f-84ef-4a52-a29e-1961196d85b9
2026-02-25 21:29:24 | app.worker | INFO | [7bae606f-84ef-4a52-a29e-1961196d85b9] Claimed job (attempt 4/4)
2026-02-25 21:29:24 | app.worker | INFO | [7bae606f-84ef-4a52-a29e-1961196d85b9] Downloading file 1gFUzevDl11oXJFPD_CeP5ob9PRYYwjDq
2026-02-25 21:29:24 | app.services.drive_service | INFO | Downloading file 1gFUzevDl11oXJFPD_CeP5ob9PRYYwjDq (Attempt 1/3)
2026-02-25 21:29:29 | app.services.drive_service | INFO | Downloaded 7478 bytes successfully
2026-02-25 21:29:29 | app.worker | INFO | [7bae606f-84ef-4a52-a29e-1961196d85b9] MIME: detected=application/pdf, expected=application/pdf
2026-02-25 21:29:29 | app.worker | INFO | [7bae606f-84ef-4a52-a29e-1961196d85b9] Extracting text using pdf pipeline
2026-02-25 21:29:29 | app.worker | INFO | [7bae606f-84ef-4a52-a29e-1961196d85b9] Extracted 18 characters
2026-02-25 21:29:29 | app.worker | INFO | [7bae606f-84ef-4a52-a29e-1961196d85b9] Sending to Groq LLM
2026-02-25 21:29:29 | app.extractors.llm_extractor | INFO | Calling Groq Llama API with 18 characters
2026-02-25 21:29:31 | httpx | INFO | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-25 21:29:31 | app.services.callback_service | INFO | Sending callback for job 7bae606f-84ef-4a52-a29e-1961196d85b9 to http://localhost:5247/api/callback
2026-02-25 21:29:32 | httpx | INFO | HTTP Request: POST http://localhost:5247/api/callback "HTTP/1.1 200 OK"
2026-02-25 21:29:32 | app.services.callback_service | INFO | Callback accepted for job 7bae606f-84ef-4a52-a29e-1961196d85b9
2026-02-25 21:36:16 | app.main | INFO | FastAPI app stopped
