2026-03-03 01:56:49 | app.utils.file_logger | INFO | File logging initialized → C:\Users\vivek.singh\OneDrive - AVEVA Solutions Limited\vivek_projects\invoice-poc\logs\logs_worker (run: 2026-03-02_20-26-49)
2026-03-03 01:56:49 | app.worker | INFO | Initializing worker services...
2026-03-03 01:56:49 | app.database.job_claimer | INFO | Database connection established
2026-03-03 01:56:49 | app.worker | INFO | ✓ Database connected
2026-03-03 01:56:49 | googleapiclient.discovery_cache | INFO | file_cache is only supported with oauth2client<4.0.0
2026-03-03 01:56:49 | app.services.drive_service | INFO | Google Drive service initialized
2026-03-03 01:56:49 | app.worker | INFO | ✓ Google Drive connected
2026-03-03 01:56:50 | app.extractors.llm_extractor | INFO | Initialized LLM extractor with model: llama-3.3-70b-versatile
2026-03-03 01:56:50 | app.worker | INFO | ✓ LLM extractor initialized
2026-03-03 01:56:50 | app.worker | INFO | ✓ Callback service initialized
2026-03-03 01:56:50 | app.worker | INFO | Worker initialization complete
2026-03-03 01:56:50 | app.main | INFO | FastAPI app started with background worker
2026-03-03 01:56:50 | app.worker | INFO | Worker worker-1 starting...
2026-03-03 01:56:50 | app.worker | INFO | Worker worker-1 polling every 5 seconds (max retries: 3)
2026-03-03 01:58:15 | app.database.job_claimer | INFO | Claimed job de2bebeb-e97e-45cf-b8e8-1310dfc4a3fb
2026-03-03 01:58:15 | app.worker | INFO | [de2bebeb-e97e-45cf-b8e8-1310dfc4a3fb] Claimed job (attempt 1/4)
2026-03-03 01:58:15 | app.worker | INFO | [de2bebeb-e97e-45cf-b8e8-1310dfc4a3fb] Downloading file 1RR4LAd0qfJJXxL-klDZbjr1UlHK9LtVk
2026-03-03 01:58:15 | app.services.drive_service | INFO | Downloading file 1RR4LAd0qfJJXxL-klDZbjr1UlHK9LtVk (Attempt 1/3)
2026-03-03 01:58:20 | app.services.drive_service | INFO | Downloaded 14907 bytes successfully
2026-03-03 01:58:20 | app.worker | INFO | [de2bebeb-e97e-45cf-b8e8-1310dfc4a3fb] MIME: detected=application/pdf, expected=application/pdf
2026-03-03 01:58:20 | app.worker | INFO | [de2bebeb-e97e-45cf-b8e8-1310dfc4a3fb] Extracting text using pdf pipeline
2026-03-03 01:58:20 | app.worker | INFO | [de2bebeb-e97e-45cf-b8e8-1310dfc4a3fb] Extracted 407 characters
2026-03-03 01:58:20 | app.worker | INFO | [de2bebeb-e97e-45cf-b8e8-1310dfc4a3fb] Sending to Groq LLM
2026-03-03 01:58:20 | app.extractors.llm_extractor | INFO | Calling Groq Llama API with 407 characters
2026-03-03 01:58:22 | httpx | INFO | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-03 01:58:22 | app.extractors.llm_extractor | INFO | Successfully extracted invoice 23466
2026-03-03 01:58:22 | app.worker | INFO | [de2bebeb-e97e-45cf-b8e8-1310dfc4a3fb] Successfully extracted invoice 23466
2026-03-03 01:58:22 | app.worker | INFO | [de2bebeb-e97e-45cf-b8e8-1310dfc4a3fb] All validations passed
2026-03-03 01:58:22 | app.services.callback_service | INFO | Sending callback for job de2bebeb-e97e-45cf-b8e8-1310dfc4a3fb to http://localhost:5247/api/callback
2026-03-03 01:58:22 | httpx | INFO | HTTP Request: POST http://localhost:5247/api/callback "HTTP/1.1 200 OK"
2026-03-03 01:58:22 | app.services.callback_service | INFO | Callback accepted for job de2bebeb-e97e-45cf-b8e8-1310dfc4a3fb
2026-03-03 01:58:22 | app.worker | INFO | [de2bebeb-e97e-45cf-b8e8-1310dfc4a3fb]  Job completed successfully
2026-03-03 01:58:27 | app.database.job_claimer | INFO | Claimed job eff7716f-6eff-486b-a2e6-bc67ef42b958
2026-03-03 01:58:27 | app.worker | INFO | [eff7716f-6eff-486b-a2e6-bc67ef42b958] Claimed job (attempt 1/4)
2026-03-03 01:58:27 | app.worker | INFO | [eff7716f-6eff-486b-a2e6-bc67ef42b958] Downloading file 1X6ikts4KKFCYrg19aZDMRQwiy33-OR8a
2026-03-03 01:58:27 | app.services.drive_service | INFO | Downloading file 1X6ikts4KKFCYrg19aZDMRQwiy33-OR8a (Attempt 1/3)
2026-03-03 01:58:29 | app.services.drive_service | INFO | Downloaded 14776 bytes successfully
2026-03-03 01:58:29 | app.worker | INFO | [eff7716f-6eff-486b-a2e6-bc67ef42b958] MIME: detected=application/pdf, expected=application/pdf
2026-03-03 01:58:29 | app.worker | INFO | [eff7716f-6eff-486b-a2e6-bc67ef42b958] Extracting text using pdf pipeline
2026-03-03 01:58:29 | app.worker | INFO | [eff7716f-6eff-486b-a2e6-bc67ef42b958] Extracted 422 characters
