2026-02-27 11:03:39 | app.utils.file_logger | INFO | File logging initialized → C:\Users\vivek.singh\OneDrive - AVEVA Solutions Limited\vivek_projects\invoice-poc\logs\logs_worker (run: 2026-02-27_05-33-39)
2026-02-27 11:03:39 | app.worker | INFO | Initializing worker services...
2026-02-27 11:03:39 | app.database.job_claimer | INFO | Database connection established
2026-02-27 11:03:39 | app.worker | INFO | ✓ Database connected
2026-02-27 11:03:39 | googleapiclient.discovery_cache | INFO | file_cache is only supported with oauth2client<4.0.0
2026-02-27 11:03:39 | app.services.drive_service | INFO | Google Drive service initialized
2026-02-27 11:03:39 | app.worker | INFO | ✓ Google Drive connected
2026-02-27 11:03:40 | app.extractors.llm_extractor | INFO | Initialized LLM extractor with model: llama-3.3-70b-versatile
2026-02-27 11:03:40 | app.worker | INFO | ✓ LLM extractor initialized
2026-02-27 11:03:40 | app.worker | INFO | ✓ Callback service initialized
2026-02-27 11:03:40 | app.worker | INFO | Worker initialization complete
2026-02-27 11:03:40 | app.main | INFO | FastAPI app started with background worker
2026-02-27 11:03:40 | app.worker | INFO | Worker worker-1 starting...
2026-02-27 11:03:40 | app.worker | INFO | Worker worker-1 polling every 5 seconds (max retries: 3)
2026-02-27 11:09:26 | app.database.job_claimer | INFO | Claimed job 66247b9b-c484-4d32-a266-c75d2d216a54
2026-02-27 11:09:26 | app.worker | INFO | [66247b9b-c484-4d32-a266-c75d2d216a54] Claimed job (attempt 1/4)
2026-02-27 11:09:26 | app.worker | INFO | [66247b9b-c484-4d32-a266-c75d2d216a54] Downloading file 1gJJfF8W_Tms2IVORBJeeSyAigrbZV9Ay
2026-02-27 11:09:26 | app.services.drive_service | INFO | Downloading file 1gJJfF8W_Tms2IVORBJeeSyAigrbZV9Ay (Attempt 1/3)
2026-02-27 11:09:29 | app.services.drive_service | INFO | Downloaded 14994 bytes successfully
2026-02-27 11:09:29 | app.worker | INFO | [66247b9b-c484-4d32-a266-c75d2d216a54] MIME: detected=application/pdf, expected=application/pdf
2026-02-27 11:09:29 | app.worker | INFO | [66247b9b-c484-4d32-a266-c75d2d216a54] Extracting text using pdf pipeline
