2026-03-02 23:03:49 | app.utils.file_logger | INFO | File logging initialized → C:\Users\vivek.singh\OneDrive - AVEVA Solutions Limited\vivek_projects\invoice-poc\logs\logs_worker (run: 2026-03-02_17-33-49)
2026-03-02 23:03:49 | app.worker | INFO | Initializing worker services...
2026-03-02 23:03:49 | app.database.job_claimer | INFO | Database connection established
2026-03-02 23:03:49 | app.worker | INFO | ✓ Database connected
2026-03-02 23:03:49 | googleapiclient.discovery_cache | INFO | file_cache is only supported with oauth2client<4.0.0
2026-03-02 23:03:49 | app.services.drive_service | INFO | Google Drive service initialized
2026-03-02 23:03:49 | app.worker | INFO | ✓ Google Drive connected
2026-03-02 23:03:49 | app.extractors.llm_extractor | INFO | Initialized LLM extractor with model: llama-3.3-70b-versatile
2026-03-02 23:03:49 | app.worker | INFO | ✓ LLM extractor initialized
2026-03-02 23:03:49 | app.worker | INFO | ✓ Callback service initialized
2026-03-02 23:03:49 | app.worker | INFO | Worker initialization complete
2026-03-02 23:03:49 | app.main | INFO | FastAPI app started with background worker
2026-03-02 23:03:49 | app.worker | INFO | Worker worker-1 starting...
2026-03-02 23:03:49 | app.worker | INFO | Worker worker-1 polling every 5 seconds (max retries: 3)
2026-03-02 23:12:20 | app.database.job_claimer | INFO | Claimed job e7c589ef-b733-4ff6-a5bc-40eaf2bdc01f
2026-03-02 23:12:20 | app.worker | INFO | [e7c589ef-b733-4ff6-a5bc-40eaf2bdc01f] Claimed job (attempt 1/4)
2026-03-02 23:12:20 | app.worker | INFO | [e7c589ef-b733-4ff6-a5bc-40eaf2bdc01f] Downloading file 1ZFKdnbvB_6Zr9YAvqO5nnxjnXwwOxFJK
2026-03-02 23:12:20 | app.services.drive_service | INFO | Downloading file 1ZFKdnbvB_6Zr9YAvqO5nnxjnXwwOxFJK (Attempt 1/3)
2026-03-02 23:12:25 | app.services.drive_service | INFO | Downloaded 14642 bytes successfully
2026-03-02 23:12:25 | app.worker | INFO | [e7c589ef-b733-4ff6-a5bc-40eaf2bdc01f] MIME: detected=application/pdf, expected=application/pdf
2026-03-02 23:12:25 | app.worker | INFO | [e7c589ef-b733-4ff6-a5bc-40eaf2bdc01f] Extracting text using pdf pipeline
2026-03-02 23:12:25 | app.worker | INFO | [e7c589ef-b733-4ff6-a5bc-40eaf2bdc01f] Extracted 386 characters
2026-03-02 23:12:25 | app.worker | INFO | [e7c589ef-b733-4ff6-a5bc-40eaf2bdc01f] Sending to Groq LLM
2026-03-02 23:12:25 | app.extractors.llm_extractor | INFO | Calling Groq Llama API with 386 characters
2026-03-02 23:12:27 | httpx | INFO | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-02 23:12:27 | app.extractors.llm_extractor | INFO | Successfully extracted invoice 11753
2026-03-02 23:12:27 | app.worker | INFO | [e7c589ef-b733-4ff6-a5bc-40eaf2bdc01f] Successfully extracted invoice 11753
2026-03-02 23:12:27 | app.worker | INFO | [e7c589ef-b733-4ff6-a5bc-40eaf2bdc01f] All validations passed
2026-03-02 23:12:27 | app.services.callback_service | INFO | Sending callback for job e7c589ef-b733-4ff6-a5bc-40eaf2bdc01f to http://localhost:5247/api/callback
2026-03-02 23:12:27 | httpx | INFO | HTTP Request: POST http://localhost:5247/api/callback "HTTP/1.1 200 OK"
2026-03-02 23:12:27 | app.services.callback_service | INFO | Callback accepted for job e7c589ef-b733-4ff6-a5bc-40eaf2bdc01f
2026-03-02 23:12:27 | app.worker | INFO | [e7c589ef-b733-4ff6-a5bc-40eaf2bdc01f]  Job completed successfully
2026-03-02 23:12:32 | app.database.job_claimer | INFO | Claimed job d9935b42-4b36-4363-95c9-844d7c2acc27
2026-03-02 23:12:32 | app.worker | INFO | [d9935b42-4b36-4363-95c9-844d7c2acc27] Claimed job (attempt 1/4)
2026-03-02 23:12:32 | app.worker | INFO | [d9935b42-4b36-4363-95c9-844d7c2acc27] Downloading file 16fE6u1tqv8Spo3MAGLxX6zWGUeYObwRn
2026-03-02 23:12:32 | app.services.drive_service | INFO | Downloading file 16fE6u1tqv8Spo3MAGLxX6zWGUeYObwRn (Attempt 1/3)
2026-03-02 23:12:33 | app.services.drive_service | INFO | Downloaded 15162 bytes successfully
2026-03-02 23:12:33 | app.worker | INFO | [d9935b42-4b36-4363-95c9-844d7c2acc27] MIME: detected=application/pdf, expected=application/pdf
2026-03-02 23:12:33 | app.worker | INFO | [d9935b42-4b36-4363-95c9-844d7c2acc27] Extracting text using pdf pipeline
2026-03-02 23:12:33 | app.worker | INFO | [d9935b42-4b36-4363-95c9-844d7c2acc27] Extracted 390 characters
2026-03-02 23:12:33 | app.worker | INFO | [d9935b42-4b36-4363-95c9-844d7c2acc27] Sending to Groq LLM
2026-03-02 23:12:33 | app.extractors.llm_extractor | INFO | Calling Groq Llama API with 390 characters
2026-03-02 23:12:35 | httpx | INFO | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-02 23:12:35 | app.extractors.llm_extractor | INFO | Successfully extracted invoice 27988
2026-03-02 23:12:35 | app.worker | INFO | [d9935b42-4b36-4363-95c9-844d7c2acc27] Successfully extracted invoice 27988
2026-03-02 23:12:35 | app.worker | INFO | [d9935b42-4b36-4363-95c9-844d7c2acc27] All validations passed
2026-03-02 23:12:35 | app.services.callback_service | INFO | Sending callback for job d9935b42-4b36-4363-95c9-844d7c2acc27 to http://localhost:5247/api/callback
2026-03-02 23:12:35 | httpx | INFO | HTTP Request: POST http://localhost:5247/api/callback "HTTP/1.1 200 OK"
2026-03-02 23:12:35 | app.services.callback_service | INFO | Callback accepted for job d9935b42-4b36-4363-95c9-844d7c2acc27
2026-03-02 23:12:35 | app.worker | INFO | [d9935b42-4b36-4363-95c9-844d7c2acc27]  Job completed successfully
2026-03-02 23:12:40 | app.database.job_claimer | INFO | Claimed job e0d2aa7f-35cf-4da9-b002-97899fe23706
2026-03-02 23:12:40 | app.worker | INFO | [e0d2aa7f-35cf-4da9-b002-97899fe23706] Claimed job (attempt 1/4)
2026-03-02 23:12:40 | app.worker | INFO | [e0d2aa7f-35cf-4da9-b002-97899fe23706] Downloading file 1klOxQyeLNLgbZli6Z8m7EngPiW0i7LHK
2026-03-02 23:12:40 | app.services.drive_service | INFO | Downloading file 1klOxQyeLNLgbZli6Z8m7EngPiW0i7LHK (Attempt 1/3)
2026-03-02 23:12:41 | app.services.drive_service | INFO | Downloaded 15377 bytes successfully
2026-03-02 23:12:41 | app.worker | INFO | [e0d2aa7f-35cf-4da9-b002-97899fe23706] MIME: detected=application/pdf, expected=application/pdf
2026-03-02 23:12:41 | app.worker | INFO | [e0d2aa7f-35cf-4da9-b002-97899fe23706] Extracting text using pdf pipeline
2026-03-02 23:12:41 | app.worker | INFO | [e0d2aa7f-35cf-4da9-b002-97899fe23706] Extracted 402 characters
2026-03-02 23:12:41 | app.worker | INFO | [e0d2aa7f-35cf-4da9-b002-97899fe23706] Sending to Groq LLM
2026-03-02 23:12:41 | app.extractors.llm_extractor | INFO | Calling Groq Llama API with 402 characters
2026-03-02 23:12:43 | httpx | INFO | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-02 23:12:43 | app.extractors.llm_extractor | INFO | Successfully extracted invoice 1935
2026-03-02 23:12:43 | app.worker | INFO | [e0d2aa7f-35cf-4da9-b002-97899fe23706] Successfully extracted invoice 1935
2026-03-02 23:12:43 | app.worker | INFO | [e0d2aa7f-35cf-4da9-b002-97899fe23706] All validations passed
2026-03-02 23:12:43 | app.services.callback_service | INFO | Sending callback for job e0d2aa7f-35cf-4da9-b002-97899fe23706 to http://localhost:5247/api/callback
2026-03-02 23:12:43 | httpx | INFO | HTTP Request: POST http://localhost:5247/api/callback "HTTP/1.1 200 OK"
2026-03-02 23:12:43 | app.services.callback_service | INFO | Callback accepted for job e0d2aa7f-35cf-4da9-b002-97899fe23706
2026-03-02 23:12:43 | app.worker | INFO | [e0d2aa7f-35cf-4da9-b002-97899fe23706]  Job completed successfully
2026-03-02 23:12:48 | app.database.job_claimer | INFO | Claimed job f04c02f9-dc10-4274-8795-966b137a4b31
2026-03-02 23:12:48 | app.worker | INFO | [f04c02f9-dc10-4274-8795-966b137a4b31] Claimed job (attempt 1/4)
2026-03-02 23:12:48 | app.worker | INFO | [f04c02f9-dc10-4274-8795-966b137a4b31] Downloading file 1-C6PQGLjOmKBwGW1dGVr041bAO7TK66-
2026-03-02 23:12:48 | app.services.drive_service | INFO | Downloading file 1-C6PQGLjOmKBwGW1dGVr041bAO7TK66- (Attempt 1/3)
2026-03-02 23:12:58 | app.services.drive_service | INFO | Downloaded 14440 bytes successfully
2026-03-02 23:12:58 | app.worker | INFO | [f04c02f9-dc10-4274-8795-966b137a4b31] MIME: detected=application/pdf, expected=application/pdf
