2026-02-26 08:45:57 | app.utils.file_logger | INFO | File logging initialized → C:\Users\vivek.singh\OneDrive - AVEVA Solutions Limited\vivek_projects\invoice-poc\logs\logs_worker (run: 2026-02-26_03-15-57)
2026-02-26 08:45:57 | app.worker | INFO | Initializing worker services...
2026-02-26 08:45:57 | app.database.job_claimer | INFO | Database connection established
2026-02-26 08:45:57 | app.worker | INFO | ✓ Database connected
2026-02-26 08:45:58 | googleapiclient.discovery_cache | INFO | file_cache is only supported with oauth2client<4.0.0
2026-02-26 08:45:58 | app.services.drive_service | INFO | Google Drive service initialized
2026-02-26 08:45:58 | app.worker | INFO | ✓ Google Drive connected
2026-02-26 08:45:58 | app.extractors.llm_extractor | INFO | Initialized LLM extractor with model: llama-3.3-70b-versatile
2026-02-26 08:45:58 | app.worker | INFO | ✓ LLM extractor initialized
2026-02-26 08:45:58 | app.worker | INFO | ✓ Callback service initialized
2026-02-26 08:45:58 | app.worker | INFO | Worker initialization complete
2026-02-26 08:45:58 | app.main | INFO | FastAPI app started with background worker
2026-02-26 08:45:58 | app.worker | INFO | Worker worker-1 starting...
2026-02-26 08:45:58 | app.worker | INFO | Worker worker-1 polling every 5 seconds (max retries: 3)
2026-02-26 09:29:23 | app.database.job_claimer | INFO | Claimed job 76afe7d8-b2d9-4fc4-be8e-1de1a30c8d52
2026-02-26 09:29:23 | app.worker | INFO | [76afe7d8-b2d9-4fc4-be8e-1de1a30c8d52] Claimed job (attempt 1/4)
2026-02-26 09:29:23 | app.worker | INFO | [76afe7d8-b2d9-4fc4-be8e-1de1a30c8d52] Downloading file 1PTr1gfta74ccUm5P3ZsGCD0xSdGPAqjy
2026-02-26 09:29:23 | app.services.drive_service | INFO | Downloading file 1PTr1gfta74ccUm5P3ZsGCD0xSdGPAqjy (Attempt 1/3)
2026-02-26 09:29:26 | app.services.drive_service | INFO | Downloaded 15247 bytes successfully
2026-02-26 09:29:26 | app.worker | INFO | [76afe7d8-b2d9-4fc4-be8e-1de1a30c8d52] MIME: detected=application/pdf, expected=application/pdf
2026-02-26 09:29:26 | app.worker | INFO | [76afe7d8-b2d9-4fc4-be8e-1de1a30c8d52] Extracting text using pdf pipeline
2026-02-26 09:29:26 | app.worker | INFO | [76afe7d8-b2d9-4fc4-be8e-1de1a30c8d52] Extracted 433 characters
2026-02-26 09:29:26 | app.worker | INFO | [76afe7d8-b2d9-4fc4-be8e-1de1a30c8d52] Sending to Groq LLM
2026-02-26 09:29:26 | app.extractors.llm_extractor | INFO | Calling Groq Llama API with 433 characters
2026-02-26 09:29:27 | httpx | INFO | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-26 09:29:27 | app.extractors.llm_extractor | INFO | Successfully extracted invoice 29142
2026-02-26 09:29:27 | app.worker | INFO | [76afe7d8-b2d9-4fc4-be8e-1de1a30c8d52] Successfully extracted invoice 29142
2026-02-26 09:29:27 | app.worker | INFO | [76afe7d8-b2d9-4fc4-be8e-1de1a30c8d52] All validations passed
2026-02-26 09:29:27 | app.services.callback_service | INFO | Sending callback for job 76afe7d8-b2d9-4fc4-be8e-1de1a30c8d52 to http://localhost:5247/api/callback
2026-02-26 09:29:28 | httpx | INFO | HTTP Request: POST http://localhost:5247/api/callback "HTTP/1.1 200 OK"
2026-02-26 09:29:28 | app.services.callback_service | INFO | Callback accepted for job 76afe7d8-b2d9-4fc4-be8e-1de1a30c8d52
2026-02-26 09:29:28 | app.worker | INFO | [76afe7d8-b2d9-4fc4-be8e-1de1a30c8d52]  Job completed successfully
2026-02-26 09:39:20 | app.main | INFO | FastAPI app stopped
