2026-03-03 02:37:59 | app.utils.file_logger | INFO | File logging initialized → C:\Users\vivek.singh\OneDrive - AVEVA Solutions Limited\vivek_projects\invoice-poc\logs\logs_worker (run: 2026-03-02_21-07-59)
2026-03-03 02:37:59 | app.worker | INFO | Initializing worker services...
2026-03-03 02:37:59 | app.database.job_claimer | INFO | Database connection established
2026-03-03 02:37:59 | app.worker | INFO | ✓ Database connected
2026-03-03 02:37:59 | googleapiclient.discovery_cache | INFO | file_cache is only supported with oauth2client<4.0.0
2026-03-03 02:37:59 | app.services.drive_service | INFO | Google Drive service initialized
2026-03-03 02:37:59 | app.worker | INFO | ✓ Google Drive connected
2026-03-03 02:38:00 | app.extractors.llm_extractor | INFO | Initialized LLM extractor with model: llama-3.3-70b-versatile
2026-03-03 02:38:00 | app.worker | INFO | ✓ LLM extractor initialized
2026-03-03 02:38:00 | app.worker | INFO | ✓ Callback service initialized
2026-03-03 02:38:00 | app.worker | INFO | Worker initialization complete
2026-03-03 02:38:00 | app.main | INFO | FastAPI app started with background worker
2026-03-03 02:38:00 | app.worker | INFO | Worker worker-1 starting...
2026-03-03 02:38:00 | app.worker | INFO | Worker worker-1 polling every 5 seconds (max retries: 3)
2026-03-03 02:39:35 | app.database.job_claimer | INFO | Claimed job c2fe08f1-90f4-4c07-8fa8-3a344eeb6dfa
2026-03-03 02:39:35 | app.worker | INFO | [c2fe08f1-90f4-4c07-8fa8-3a344eeb6dfa] Claimed job (attempt 1/4)
2026-03-03 02:39:35 | app.worker | INFO | [c2fe08f1-90f4-4c07-8fa8-3a344eeb6dfa] Downloading file 17DStYvBnMFPnMJEFwSJvppAiDM7SAeTJ
2026-03-03 02:39:35 | app.services.drive_service | INFO | Downloading file 17DStYvBnMFPnMJEFwSJvppAiDM7SAeTJ (Attempt 1/3)
2026-03-03 02:39:40 | app.services.drive_service | INFO | Downloaded 14907 bytes successfully
2026-03-03 02:39:40 | app.worker | INFO | [c2fe08f1-90f4-4c07-8fa8-3a344eeb6dfa] MIME: detected=application/pdf, expected=application/pdf
2026-03-03 02:39:40 | app.worker | INFO | [c2fe08f1-90f4-4c07-8fa8-3a344eeb6dfa] Extracting text using pdf pipeline
2026-03-03 02:39:40 | app.worker | INFO | [c2fe08f1-90f4-4c07-8fa8-3a344eeb6dfa] Extracted 407 characters
2026-03-03 02:39:40 | app.worker | INFO | [c2fe08f1-90f4-4c07-8fa8-3a344eeb6dfa] Sending to Groq LLM
2026-03-03 02:39:40 | app.extractors.llm_extractor | INFO | Calling Groq Llama API with 407 characters
2026-03-03 02:39:42 | httpx | INFO | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-03 02:39:42 | app.extractors.llm_extractor | INFO | Successfully extracted invoice 23466
2026-03-03 02:39:42 | app.worker | INFO | [c2fe08f1-90f4-4c07-8fa8-3a344eeb6dfa] Successfully extracted invoice 23466
2026-03-03 02:39:42 | app.worker | INFO | [c2fe08f1-90f4-4c07-8fa8-3a344eeb6dfa] All validations passed
2026-03-03 02:39:42 | app.services.callback_service | INFO | Sending callback for job c2fe08f1-90f4-4c07-8fa8-3a344eeb6dfa to http://localhost:5247/api/callback
2026-03-03 02:39:42 | httpx | INFO | HTTP Request: POST http://localhost:5247/api/callback "HTTP/1.1 200 OK"
2026-03-03 02:39:42 | app.services.callback_service | INFO | Callback accepted for job c2fe08f1-90f4-4c07-8fa8-3a344eeb6dfa
2026-03-03 02:39:42 | app.worker | INFO | [c2fe08f1-90f4-4c07-8fa8-3a344eeb6dfa]  Job completed successfully
2026-03-03 02:39:47 | app.database.job_claimer | INFO | Claimed job 96b77271-d3bd-4a15-bec0-9f24167ca1c9
2026-03-03 02:39:47 | app.worker | INFO | [96b77271-d3bd-4a15-bec0-9f24167ca1c9] Claimed job (attempt 1/4)
