2026-02-23 14:04:16 | app.utils.file_logger | INFO | File logging initialized → C:\Users\vivek.singh\OneDrive - AVEVA Solutions Limited\vivek_projects\invoice-poc\logs\logs_worker (run: 2026-02-23_08-34-16)
2026-02-23 14:04:16 | app.worker | INFO | Initializing worker services...
2026-02-23 14:04:16 | app.database.job_claimer | INFO | Database connection established
2026-02-23 14:04:16 | app.worker | INFO | ✓ Database connected
2026-02-23 14:04:16 | googleapiclient.discovery_cache | INFO | file_cache is only supported with oauth2client<4.0.0
2026-02-23 14:04:16 | app.services.drive_service | INFO | Google Drive service initialized
2026-02-23 14:04:16 | app.worker | INFO | ✓ Google Drive connected
2026-02-23 14:04:17 | app.extractors.llm_extractor | INFO | Initialized LLM extractor with model: llama-3.3-70b-versatile
2026-02-23 14:04:17 | app.worker | INFO | ✓ LLM extractor initialized
2026-02-23 14:04:17 | app.worker | INFO | ✓ Callback service initialized
2026-02-23 14:04:17 | app.worker | INFO | Worker initialization complete
2026-02-23 14:04:17 | app.main | INFO | FastAPI app started with background worker
2026-02-23 14:04:17 | app.worker | INFO | Worker worker-1 starting...
2026-02-23 14:04:17 | app.worker | INFO | Worker worker-1 polling every 5 seconds (max retries: 3)
2026-02-23 14:05:07 | app.database.job_claimer | INFO | Claimed job 7ca2769f-ddd7-40b6-8b21-25695c8ca9ae
2026-02-23 14:05:07 | app.worker | INFO | [7ca2769f-ddd7-40b6-8b21-25695c8ca9ae] Claimed job (attempt 3/4)
2026-02-23 14:05:07 | app.worker | INFO | [7ca2769f-ddd7-40b6-8b21-25695c8ca9ae] Downloading file 14R27FwGJJhv5XTYxm8bRnAzTII_JUmrg
2026-02-23 14:05:07 | app.services.drive_service | INFO | Downloading file 14R27FwGJJhv5XTYxm8bRnAzTII_JUmrg (Attempt 1/3)
2026-02-23 14:05:09 | app.services.drive_service | INFO | Downloaded 9834 bytes successfully
2026-02-23 14:05:09 | app.worker | INFO | [7ca2769f-ddd7-40b6-8b21-25695c8ca9ae] MIME: detected=application/pdf, expected=application/pdf
2026-02-23 14:05:09 | app.worker | INFO | [7ca2769f-ddd7-40b6-8b21-25695c8ca9ae] Extracting text using pdf pipeline
2026-02-23 14:05:09 | app.worker | INFO | [7ca2769f-ddd7-40b6-8b21-25695c8ca9ae] Extracted 92 characters
2026-02-23 14:05:09 | app.worker | INFO | [7ca2769f-ddd7-40b6-8b21-25695c8ca9ae] Sending to Groq LLM
2026-02-23 14:05:09 | app.extractors.llm_extractor | INFO | Calling Groq Llama API with 92 characters
2026-02-23 14:05:10 | httpx | INFO | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-23 14:05:10 | app.worker | INFO | [7ca2769f-ddd7-40b6-8b21-25695c8ca9ae] ✓ Retry scheduled: attempt 3, next at 2026-02-23T08:43:10.439542+00:00
2026-02-23 14:05:30 | app.main | INFO | FastAPI app stopped
