2026-02-23 17:40:24 | app.utils.file_logger | INFO | File logging initialized → C:\Users\vivek.singh\OneDrive - AVEVA Solutions Limited\vivek_projects\invoice-poc\logs\logs_worker (run: 2026-02-23_12-10-24)
2026-02-23 17:40:24 | app.worker | INFO | Initializing worker services...
2026-02-23 17:40:24 | app.database.job_claimer | INFO | Database connection established
2026-02-23 17:40:24 | app.worker | INFO | ✓ Database connected
2026-02-23 17:40:24 | googleapiclient.discovery_cache | INFO | file_cache is only supported with oauth2client<4.0.0
2026-02-23 17:40:24 | app.services.drive_service | INFO | Google Drive service initialized
2026-02-23 17:40:24 | app.worker | INFO | ✓ Google Drive connected
2026-02-23 17:40:25 | app.extractors.llm_extractor | INFO | Initialized LLM extractor with model: llama-3.3-70b-versatile
2026-02-23 17:40:25 | app.worker | INFO | ✓ LLM extractor initialized
2026-02-23 17:40:25 | app.worker | INFO | ✓ Callback service initialized
2026-02-23 17:40:25 | app.worker | INFO | Worker initialization complete
2026-02-23 17:40:25 | app.main | INFO | FastAPI app started with background worker
2026-02-23 17:40:25 | app.worker | INFO | Worker worker-1 starting...
2026-02-23 17:40:25 | app.worker | INFO | Worker worker-1 polling every 5 seconds (max retries: 3)
2026-02-23 17:41:15 | app.database.job_claimer | INFO | Claimed job d8c74a18-e885-4936-9393-ef5ac8f51d13
2026-02-23 17:41:15 | app.worker | INFO | [d8c74a18-e885-4936-9393-ef5ac8f51d13] Claimed job (attempt 1/4)
2026-02-23 17:41:15 | app.worker | INFO | [d8c74a18-e885-4936-9393-ef5ac8f51d13] Downloading file 16qwV12IQFPGtysXCOwUAxBeGvr0xK_ga
2026-02-23 17:41:15 | app.services.drive_service | INFO | Downloading file 16qwV12IQFPGtysXCOwUAxBeGvr0xK_ga (Attempt 1/3)
2026-02-23 17:41:22 | app.services.drive_service | INFO | Downloaded 4416520 bytes successfully
2026-02-23 17:41:22 | app.worker | INFO | [d8c74a18-e885-4936-9393-ef5ac8f51d13] MIME: detected=application/x-dosexec, expected=application/pdf
2026-02-23 17:41:22 | app.services.callback_service | INFO | Sending callback for job d8c74a18-e885-4936-9393-ef5ac8f51d13 to http://localhost:5247/api/callback
2026-02-23 17:41:23 | httpx | INFO | HTTP Request: POST http://localhost:5247/api/callback "HTTP/1.1 200 OK"
2026-02-23 17:41:23 | app.services.callback_service | INFO | Callback accepted for job d8c74a18-e885-4936-9393-ef5ac8f51d13
2026-02-23 17:43:50 | app.main | INFO | FastAPI app stopped
